V_flat,M_baryonic
1.9809272356233716,100.0
2.150714726442965,138.94954943731375
2.335054893161197,193.06977288832496
2.5351950619196373,268.26957952797244
2.75248946857971,372.7593720314938
2.9884084220744556,517.9474679231213
3.2445482531614322,719.6856730011522
3.522642115894364,1000.0
3.824571714901019,1389.4954943731375
4.152380037819193,1930.6977288832495
4.5082851790440435,2682.6957952797247
4.894695348324275,3727.593720314938
5.314225165761911,5179.474679231213
5.769713353474727,7196.856730011514
6.264241943630894,10000.0
