step,time,E_total,Drift_Rel
0,0.05,-17768.903256593367,-0.0
0,0.1,-17803.961583838725,0.001973015820903288
1,0.15000000000000002,-17846.24675151375,0.004352744443677725
2,0.2,-17883.399428890276,0.006443626297218092
3,0.25,-17906.893912586616,0.007765851048913025
4,0.3,-17914.298038326968,0.008182541130086384
5,0.35,-17909.272299697557,0.007899702141273399
6,0.39999999999999997,-17899.446128419055,0.007346703954688286
7,0.44999999999999996,-17892.657980492826,0.006964679930571329
8,0.49999999999999994,-17893.365189337885,0.007004480296122659
9,0.5499999999999999,-17901.34627673188,0.007453640679222577
10,0.6,-17912.99144530957,0.008109008566003504
11,0.65,-17923.807789794817,0.008717731812962122
12,0.7000000000000001,-17930.709575529163,0.009106151156276688
13,0.7500000000000001,-17933.218819076814,0.00924736659942565
