Galaxy,Set,Mode,n,ud_isut,ub_isut,zD,zi,V200_dm,c_dm,score_isut,score_dm,k_isut,k_dm,bic_style_isut,bic_style_dm,delta_bic_style,winner,success_isut,success_dm,message_isut,message_dm,nfev_isut,nfev_dm
NGC6503,Golden12,smart,31,0.4288109354310585,0.7,0.05895180251687531,0.5284835322118064,104.00001950458368,1.364741629544143,85.79160002664746,40.25863617363464,4,4,99.52754884458804,53.99458499157522,-45.53296385301282,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,135,220
NGC3198,Golden12,smart,43,0.7462823428645059,0.7,-1.388005342417776,-1.2696362662647485,127.90267274347728,1.0,89.97851705510116,57.34139888625663,4,4,105.02331751787541,72.38619934903087,-32.63711816884454,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,130,135
NGC2403,Golden12,smart,73,0.4011494332010846,0.7,0.022621083284845297,2.208046327759376,123.6493710949743,2.3826276648414018,433.53679333739416,286.9535408977883,4,4,450.6986311019877,304.11537866238183,-146.58325243960587,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,155,135
NGC2841,Golden12,smart,50,0.7815589606802436,0.85017216909992,0.8498547273943362,0.787156852860636,228.58442274853644,1.0,72.62837058388018,93.67327593780924,4,4,88.27646260559277,109.32136795952182,21.044905353929053,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,155,210
NGC2903,Golden12,smart,34,0.26875749118428516,0.7,2.285154494635255,2.1034588149749673,170.76570713098226,3.5638962326422017,291.2951968347506,184.57514696918585,4,4,305.40063893321525,198.6805890676505,-106.72004986556476,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,180,190
NGC3521,Golden12,smart,41,0.4514004643177509,0.7,0.4970822601828509,0.47645902391422323,165.23966919782563,1.0,21.180490885860053,15.290348628549236,4,4,36.03477915267729,30.144636895366467,-5.890142257310821,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,130,130
NGC5055,Golden12,smart,28,0.4902672529603897,0.7,-1.8050351802324742,-0.6974346940044565,153.63362589503143,1.08839579184268,94.29706229553355,45.02604321163794,4,4,107.62588033623436,58.35486125233876,-49.2710190838956,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,180,220
NGC7331,Golden12,smart,36,0.3165837521301636,0.25275612202880726,0.4921712745339457,0.471977298579772,190.85033171118354,1.0,42.732978984745365,44.94203127548482,4,4,57.06705473856981,59.27610702930926,2.20905229073945,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,170,220
NGC6946,Golden12,smart,58,0.5488978521819392,0.638944970342234,-0.9389608448836962,-1.0493064786071629,130.14203891099922,1.0,83.82896376733052,86.85812279769671,4,4,100.0707358095162,103.09989483988238,3.0291590303661877,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,165,255
NGC7793,Golden12,smart,46,0.5135589500010287,0.7,-0.3743860173031512,-0.3924450323740614,82.53365585094699,1.0,36.060796540204876,38.96795614899646,4,4,51.37536212616126,54.28252173495284,2.9071596087915808,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,70,210
UGC02885,Golden12,smart,19,0.44802671136351224,0.964829350372319,0.16300703709625392,0.1615594618883359,260.3768249265964,1.0,13.60366539629635,13.635190346132202,4,4,25.38142131296211,25.412946262797963,0.031524949835851857,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,115,150
