Galaxy,Best_Beta,Best_a0,Ups_Disk,Ups_Bulge,Chi2_Total,Chi2_Red,MAPE_Percent,BIC,N_Points
F568-3,1.0335,3649.23,0.398,0.79,45.76,3.269,15.71,57.33,18
F571-8,1.9992,14802.87,0.1,0.005,288.53,32.059,35.27,298.79,13
NGC0055,0.5616,4122.28,0.1,0.404,16.48,0.97,2.7,28.66,21
NGC0247,0.5,1151.95,1.627,0.762,40.36,1.835,4.08,53.39,26
NGC0300,1.6106,3689.75,0.379,0.417,18.47,0.879,4.23,31.34,25
NGC0801,0.5,1901.14,0.601,1.599,62.49,6.943,5.36,72.75,13
NGC1003,0.8862,3857.36,0.349,0.858,160.29,5.009,4.85,174.63,36
NGC2403,1.274,4150.73,0.439,0.552,443.64,6.43,3.02,460.8,73
NGC2683,1.7852,918.89,0.745,0.0,8.77,1.252,3.43,18.36,11
NGC2841,1.3864,3418.46,0.865,1.005,67.74,1.473,1.57,83.38,50
NGC2903,1.257,5295.71,0.356,0.629,252.95,8.432,11.11,267.05,34
NGC2915,1.2421,9621.45,0.441,0.1,46.56,1.791,21.89,60.16,30
NGC2998,0.5042,3266.22,0.723,0.799,29.09,3.232,11.0,39.35,13
NGC3109,1.4727,4162.4,0.1,0.538,58.59,2.79,7.75,71.47,25
NGC3198,0.6476,3449.4,0.612,0.843,97.84,2.509,8.88,112.89,43
NGC3521,1.1546,3998.25,0.482,0.64,20.13,0.544,3.0,34.99,41
NGC3726,0.6715,3113.82,0.399,1.073,27.79,3.474,5.9,37.73,12
NGC3741,1.3684,3660.96,0.1,0.756,4.47,0.263,2.65,16.65,21
NGC3769,0.956,3619.03,0.336,0.83,8.33,1.041,4.81,18.27,12
NGC3877,0.6353,2577.23,0.521,0.964,87.35,9.705,17.08,97.61,13
NGC3893,1.2709,4575.7,0.4,0.562,5.34,0.891,2.93,14.55,10
NGC3917,0.6199,2182.19,0.9,0.6,39.99,3.076,7.39,51.32,17
NGC3949,1.13,4820.06,0.34,0.859,1.88,0.626,2.53,9.66,7
NGC3953,0.5393,706.06,0.79,1.071,3.52,0.88,1.82,11.84,8
NGC3972,1.0231,8564.25,0.284,0.007,10.87,1.811,5.97,20.08,10
NGC3992,0.5543,2997.05,0.898,0.65,7.54,1.509,2.0,16.33,9
NGC4013,0.8115,4838.08,0.178,1.492,50.2,1.569,2.77,64.53,36
NGC4051,0.5014,892.55,0.616,1.166,7.35,2.45,4.85,15.13,7
NGC4085,1.9972,8820.19,0.1,0.043,17.41,5.804,11.75,25.2,7
NGC4088,0.7517,2953.01,0.304,0.99,6.43,0.804,3.25,16.37,12
NGC4100,1.0185,2212.61,0.711,0.56,30.93,1.547,3.46,43.64,24
NGC4138,0.8171,2313.91,0.893,0.0,3.56,1.186,3.91,11.34,7
NGC4157,1.9499,1564.82,0.381,0.0,7.81,0.601,2.85,19.15,17
NGC4183,0.5759,1468.86,1.211,0.903,8.58,0.452,3.22,21.12,23
NGC4217,1.7913,3168.36,1.007,0.121,26.23,1.748,6.11,38.0,19
NGC4559,1.055,1962.29,0.438,0.908,15.87,0.567,2.86,29.73,32
NGC5033,1.1283,2366.3,0.9,0.21,137.97,7.665,5.06,150.34,22
NGC5055,0.7072,3594.16,0.383,0.946,89.81,3.742,1.67,103.14,28
NGC5585,1.092,4371.87,0.221,0.721,137.76,6.888,7.86,150.47,24
NGC5907,0.8127,1754.33,0.773,1.111,108.31,7.221,3.25,120.09,19
NGC5985,0.5085,4004.5,1.099,3.975,178.46,6.154,3.82,192.45,33
NGC6015,0.5162,4071.28,0.811,0.584,431.32,10.783,5.87,446.45,44
NGC6195,1.2327,3066.92,0.166,0.657,37.99,2.0,2.52,50.54,23
NGC6503,1.048,3970.7,0.436,0.727,82.6,3.059,2.54,96.33,31
NGC6674,0.5966,4130.07,0.49,4.646,73.19,6.654,8.09,84.03,15
NGC6946,0.6307,4076.36,0.468,0.513,79.16,1.466,2.06,95.41,58
NGC7331,1.0377,4349.79,0.315,0.561,39.76,1.243,1.73,54.1,36
NGC7793,0.7535,3108.98,0.571,0.797,33.76,0.804,11.86,49.07,46
UGC02885,0.9341,4431.7,0.431,0.997,13.37,0.891,1.97,25.15,19
UGC06399,0.8327,4348.15,0.629,0.695,2.62,0.524,5.63,11.41,9
UGC06446,0.6077,3083.87,1.956,0.005,3.57,0.275,3.22,14.9,17
UGC06614,1.9758,2588.73,0.283,0.306,6.97,0.775,4.25,17.23,13
UGC06667,1.5446,1127.06,5.0,0.0,18.15,3.631,5.62,26.94,9
UGC06786,1.2094,11565.35,0.329,0.591,44.02,1.074,2.86,59.24,45
UGC06818,1.3475,4412.21,0.1,1.159,12.02,3.006,12.61,20.34,8
UGC06917,1.0724,3352.44,0.578,0.535,10.28,1.469,3.83,19.88,11
UGC06923,1.0086,5687.05,0.18,0.855,3.29,1.643,6.08,10.45,6
UGC06930,0.5336,1687.54,1.185,1.056,3.77,0.628,4.37,12.98,10
UGC06983,0.8026,2876.28,1.083,0.35,13.64,1.049,4.67,24.97,17
UGC07089,1.0385,3379.87,0.145,0.96,1.59,0.199,2.69,11.53,12
